peduc,age,labor,tenure,agegrp,tenuregrp,college,working,wage
college,23,1.8329666,3,20-29,0-3,no,yes,16.62
high school or equivalent,54,2.7314427,8,50-59,8 up,yes,yes,34.01
doctorate,56,1.528048,10,50-59,8 up,no,yes,22.48
graduate,29,-.42155585,4,20-29,4-7,no,yes,17.89
high school or equivalent,47,-1.1637632,3,40-49,0-3,yes,yes,28.3
high school or equivalent,35,.98969644,4,30-39,4-7,no,yes,13.86
college,40,1.1602916,6,40-49,4-7,no,yes,15.54
high school or equivalent,25,-1.071655,1,20-29,0-3,no,yes,15.55
high school or equivalent,37,-2.09149,1,30-39,0-3,no,no,16.01
high school or equivalent,50,-.81897926,4,50-59,4-7,no,yes,15.91
college,47,.41694212,6,40-49,4-7,no,yes,20.48
graduate,27,.25253636,4,20-29,4-7,no,yes,17.37
college,49,-.11378934,5,40-49,4-7,yes,yes,33.27
college,37,-1.01118,3,30-39,0-3,yes,yes,32.86
graduate,62,.22551814,8,60 up,8 up,no,no,18.09
college,42,.6475507,5,40-49,4-7,yes,yes,25.95
high school or equivalent,58,1.4277511,7,50-59,4-7,no,yes,22.02
high school or equivalent,62,-.38572216,5,60 up,4-7,no,no,13.55
college,31,1.0478295,5,30-39,4-7,yes,yes,22.31
college,36,-1.2958497,3,30-39,0-3,no,yes,20.72
graduate,44,-1.0509824,5,40-49,4-7,yes,yes,27.69
college,67,1.8514986,9,60 up,8 up,yes,yes,29
college,42,1.6412873,6,40-49,4-7,yes,yes,28.32
college,42,.69472623,5,40-49,4-7,no,no,15.79
college,21,1.6018461,1,20-29,0-3,no,no,14.46
college,49,1.1340027,7,40-49,4-7,yes,yes,29.22
college,44,-.64879507,4,40-49,4-7,no,no,14.32
college,37,.88039058,5,30-39,4-7,no,yes,14.06
high school or equivalent,31,1.6548661,4,30-39,4-7,no,yes,18.79
high school or equivalent,39,-1.4529337,2,30-39,0-3,no,yes,16.47
high school or equivalent,60,-2.6655045,3,60 up,0-3,no,no,19.26
college,39,-.73708099,4,30-39,4-7,no,yes,17.41
college,29,2.0471215,5,20-29,4-7,no,yes,15.6
high school or equivalent,37,2.3112681,6,30-39,4-7,no,yes,17.48
high school or equivalent,48,1.4277484,6,40-49,4-7,no,yes,18.87
high school or equivalent,34,-.19532901,3,30-39,0-3,no,no,15.08
college,30,-.4827255,3,30-39,0-3,no,no,16.64
high school or equivalent,70,.2678211,7,60 up,4-7,no,no,22.39
college,38,1.2043005,6,30-39,4-7,yes,yes,24.7
high school or equivalent,42,-.78432488,3,40-49,0-3,yes,yes,30.02
college,51,1.1349522,7,50-59,4-7,no,no,20.09
high school or equivalent,23,.28616118,2,20-29,0-3,yes,yes,21.32
doctorate,29,-1.150614,4,20-29,4-7,yes,yes,24.24
high school or equivalent,49,-.61523122,4,40-49,4-7,no,yes,17.97
high school or equivalent,46,-1.5532444,3,40-49,0-3,no,yes,17.85
graduate,55,1.9481767,9,50-59,8 up,yes,yes,31.47
graduate,36,-.91804898,4,30-39,4-7,yes,yes,25.28
high school or equivalent,51,.64349121,5,50-59,4-7,no,yes,22.71
high school or equivalent,30,-2.9780712,0,30-39,0-3,no,yes,14.57
high school or equivalent,40,.31515977,4,40-49,4-7,no,yes,23.32
high school or equivalent,45,-1.2507741,3,40-49,0-3,no,yes,22.25
high school or equivalent,40,.34170365,4,40-49,4-7,no,yes,21.34
college,57,2.1031063,8,50-59,8 up,no,no,20.28
graduate,40,.54899091,6,40-49,4-7,no,yes,11.72
college,26,-.35593635,3,20-29,0-3,yes,yes,21.78
high school or equivalent,59,-2.1136765,3,50-59,0-3,no,yes,18.85
high school or equivalent,55,-2.5176311,2,50-59,0-3,no,yes,18.06
college,29,2.2633877,6,20-29,4-7,yes,yes,20.84
graduate,38,1.4571873,7,30-39,4-7,yes,yes,28.49
high school or equivalent,25,1.6157038,4,20-29,4-7,no,yes,20.04
college,23,.73669857,3,20-29,0-3,yes,no,18.5
high school or equivalent,20,-1.3087929,0,20-29,0-3,no,yes,11.33
graduate,36,2.157294,7,30-39,4-7,yes,yes,25.88
graduate,35,.90693027,6,30-39,4-7,yes,yes,25.88
college,73,2.2632217,10,60 up,8 up,no,no,21.22
graduate,35,-3.797472,2,30-39,0-3,yes,no,21.35
college,49,1.5711538,7,40-49,4-7,yes,yes,29.46
graduate,51,-2.3966935,4,50-59,4-7,yes,yes,28.51
college,55,-2.3520696,4,50-59,4-7,yes,yes,31.9
graduate,57,-.70042419,6,50-59,4-7,yes,yes,32.36
high school or equivalent,22,-3.2198913,0,20-29,0-3,no,no,8.140000000000001
college,26,1.2130122,4,20-29,4-7,yes,yes,21.05
college,30,-1.7407269,2,30-39,0-3,no,yes,12.81
college,36,.54554439,5,30-39,4-7,no,no,17
college,69,-.9007197,6,60 up,4-7,yes,yes,28.94
high school or equivalent,63,-1.5495926,4,60 up,4-7,no,no,18.44
high school or equivalent,44,1.1038946,5,40-49,4-7,no,yes,23.06
high school or equivalent,39,-.94700176,2,30-39,0-3,no,yes,13.9
high school or equivalent,32,-.4493331,2,30-39,0-3,yes,yes,26.42
high school or equivalent,38,-.3485727,3,30-39,0-3,no,yes,18.7
high school or equivalent,48,.89619535,5,40-49,4-7,no,yes,18.84
graduate,49,.060723986,6,40-49,4-7,yes,yes,28.36
high school or equivalent,27,-.51694506,2,20-29,0-3,no,no,12.39
high school or equivalent,39,.30199423,4,30-39,4-7,no,yes,17.36
high school or equivalent,65,.34111717,6,60 up,4-7,no,no,17.62
high school or equivalent,59,-.99684274,4,50-59,4-7,no,yes,22.14
high school or equivalent,37,.24180387,3,30-39,0-3,yes,yes,24.54
high school or equivalent,41,-.11083461,3,40-49,0-3,no,no,17.21
college,38,2.2060828,7,30-39,4-7,no,no,19.65
high school or equivalent,26,-.3536424,2,20-29,0-3,no,yes,16.41
college,57,-1.9251974,4,50-59,4-7,yes,no,27.71
college,38,.60628498,5,30-39,4-7,no,yes,19.54
graduate,44,-3.1453977,3,40-49,0-3,yes,yes,25.59
college,63,.95294863,8,60 up,8 up,yes,yes,29.3
high school or equivalent,56,-.33956507,5,50-59,4-7,yes,yes,27.36
college,72,-.7735458,7,60 up,4-7,no,no,17.35
high school or equivalent,50,-1.2366077,3,50-59,0-3,no,yes,18.18
doctorate,55,.61356986,9,50-59,8 up,no,no,21.2
high school or equivalent,21,.82728046,1,20-29,0-3,no,no,13
college,34,.734837,5,30-39,4-7,no,yes,20.15
college,30,1.2607623,5,30-39,4-7,yes,yes,24.4
high school or equivalent,33,-.74084604,2,30-39,0-3,yes,yes,27.21
college,72,.13720028,8,60 up,8 up,yes,yes,28.28
high school or equivalent,28,2.3892837,5,20-29,4-7,no,yes,18.64
graduate,22,.47932306,2,20-29,0-3,no,no,14.76
high school or equivalent,34,-.076724067,3,30-39,0-3,no,yes,16.99
college,32,3.5948775,7,30-39,4-7,yes,yes,27.98
high school or equivalent,48,-.6680004,4,40-49,4-7,yes,yes,27.98
high school or equivalent,57,-1.1801007,4,50-59,4-7,no,yes,20.75
college,45,-.89517069,4,40-49,4-7,no,yes,17.45
high school or equivalent,71,-.20855257,6,60 up,4-7,no,yes,23.1
high school or equivalent,49,.60523015,5,40-49,4-7,no,yes,15.77
high school or equivalent,34,3.3437965,6,30-39,4-7,no,yes,16.4
high school or equivalent,25,-3.9418924,0,20-29,0-3,no,no,21.14
high school or equivalent,41,-.7750057,3,40-49,0-3,no,yes,18.68
graduate,24,.38733181,4,20-29,4-7,yes,yes,19.71
graduate,40,-1.2567968,4,40-49,4-7,no,yes,18.37
college,22,2.4357655,2,20-29,0-3,yes,yes,22.16
high school or equivalent,39,-1.6988156,2,30-39,0-3,no,yes,21.23
high school or equivalent,35,-3.0136323,0,30-39,0-3,no,yes,17.23
high school or equivalent,48,-2.0135956,2,40-49,0-3,no,yes,17.93
college,45,.7138477,6,40-49,4-7,yes,yes,26.81
college,38,-.66784316,4,30-39,4-7,no,yes,13
high school or equivalent,21,-1.0627036,1,20-29,0-3,yes,yes,17.66
college,41,-1.9222116,3,40-49,0-3,yes,yes,25.88
graduate,63,-2.9766295,5,60 up,4-7,yes,no,28.44
high school or equivalent,21,-2.0799718,0,20-29,0-3,no,no,13.41
high school or equivalent,20,-1.1552613,0,20-29,0-3,no,yes,14.79
high school or equivalent,45,1.9965008,6,40-49,4-7,no,yes,12.95
college,39,-.46737722,4,30-39,4-7,yes,yes,26.42
college,32,-.45758939,3,30-39,0-3,yes,yes,25.09
college,43,-2.3953333,2,40-49,0-3,no,yes,16.67
high school or equivalent,39,1.9978498,5,30-39,4-7,no,yes,13.44
high school or equivalent,51,-1.0424818,4,50-59,4-7,yes,yes,32.26
graduate,45,-4.9882603,2,40-49,0-3,yes,no,24.49
high school or equivalent,30,-3.2787535,0,30-39,0-3,no,yes,13.95
high school or equivalent,57,-2.0815229,3,50-59,0-3,no,yes,23.6
college,33,3.5338974,7,30-39,4-7,yes,yes,25.6
graduate,26,-2.5837245,2,20-29,0-3,yes,yes,21.42
high school or equivalent,31,-.82530838,2,30-39,0-3,no,yes,21.21
graduate,32,-2.3493454,2,30-39,0-3,no,yes,16.19
high school or equivalent,32,.8568303,4,30-39,4-7,no,yes,20.87
college,70,-.96392012,7,60 up,4-7,no,no,20.2
graduate,20,-2.5212562,0,20-29,0-3,yes,yes,21.52
graduate,69,-1.1623297,7,60 up,4-7,no,no,22.86
college,50,2.4540758,8,50-59,8 up,no,yes,17.68
college,30,2.798269,6,30-39,4-7,yes,yes,24.01
college,61,.23378041,7,60 up,4-7,no,yes,25.94
high school or equivalent,29,-.17946039,2,20-29,0-3,no,yes,17.97
college,20,2.0767212,0,20-29,0-3,yes,yes,20.49
high school or equivalent,52,-3.6875446,1,50-59,0-3,yes,yes,27.22
college,55,1.74533,8,50-59,8 up,yes,yes,32.14
college,49,2.3480949,8,40-49,8 up,no,no,20.41
college,27,3.7799163,7,20-29,4-7,no,yes,14.84
high school or equivalent,62,1.0790545,7,60 up,4-7,no,yes,18.61
college,24,2.4891396,4,20-29,4-7,no,yes,18.13
college,29,-1.2160167,2,20-29,0-3,yes,yes,17.79
doctorate,60,-2.4930048,6,60 up,4-7,no,no,17.61
graduate,33,2.8458338,8,30-39,8 up,yes,yes,22.86
graduate,35,4.7842331,10,30-39,8 up,no,yes,22.89
college,49,.69558161,6,40-49,4-7,yes,yes,26.56
high school or equivalent,56,2.9687688,8,50-59,8 up,no,yes,16.4
high school or equivalent,35,-1.159475,2,30-39,0-3,no,yes,17.98
high school or equivalent,33,.90268111,4,30-39,4-7,no,yes,20.98
high school or equivalent,50,-4.7117438,0,50-59,0-3,yes,yes,27.65
graduate,44,.69837487,7,40-49,4-7,no,yes,22.78
high school or equivalent,47,1.5843987,6,40-49,4-7,no,yes,17.78
college,48,-.37027466,5,40-49,4-7,no,yes,18.09
high school or equivalent,50,1.8074107,6,50-59,4-7,no,yes,19.24
college,26,-1.0174688,2,20-29,0-3,yes,yes,18.28
college,68,.084585033,7,60 up,4-7,yes,no,28.59
graduate,24,-2.0373833,2,20-29,0-3,yes,yes,21.59
graduate,22,3.2166588,2,20-29,0-3,yes,yes,19.45
graduate,31,-3.7826126,2,30-39,0-3,yes,yes,22.29
high school or equivalent,40,.68762904,4,40-49,4-7,no,yes,16.1
college,29,2.743063,6,20-29,4-7,no,yes,16.02
college,30,-.016337456,3,30-39,0-3,no,no,14.86
college,69,-1.1540397,6,60 up,4-7,no,no,18.54
graduate,21,-.4716211,1,20-29,0-3,yes,yes,19.02
college,40,-1.7484542,3,40-49,0-3,no,no,15.96
doctorate,48,-5.446301,3,40-49,0-3,yes,yes,29.45
high school or equivalent,56,3.1858056,8,50-59,8 up,no,yes,18.08
graduate,54,-.35134584,7,50-59,4-7,yes,yes,28.51
college,32,-1.7282201,2,30-39,0-3,no,yes,15.62
high school or equivalent,53,.7595948,6,50-59,4-7,no,yes,21.29
college,45,-.083040722,5,40-49,4-7,yes,no,21.95
high school or equivalent,35,2.7550485,6,30-39,4-7,no,yes,22.55
high school or equivalent,50,.079506129,5,50-59,4-7,no,yes,17.43
college,34,-1.9871185,2,30-39,0-3,no,yes,15.64
high school or equivalent,28,2.4585023,5,20-29,4-7,no,yes,14.83
high school or equivalent,27,-1.164155,1,20-29,0-3,no,no,18
high school or equivalent,47,1.9387082,6,40-49,4-7,no,yes,18.17
high school or equivalent,45,.50896609,5,40-49,4-7,no,yes,22.64
high school or equivalent,69,.01035544,6,60 up,4-7,no,no,20.56
high school or equivalent,64,-.47744498,5,60 up,4-7,no,yes,21.12
college,49,.35144001,6,40-49,4-7,no,yes,16.86
college,66,5.0717268,12,60 up,8 up,no,yes,23.93
college,74,-1.0399449,7,60 up,4-7,yes,no,29.16
high school or equivalent,59,-1.5637674,4,50-59,4-7,yes,yes,28.92
graduate,39,.29928544,6,30-39,4-7,yes,yes,28.71
high school or equivalent,24,2.3712318,4,20-29,4-7,no,no,15.33
college,29,.16321224,4,20-29,4-7,yes,yes,21.53
college,71,.29087397,8,60 up,8 up,no,no,18.24
college,59,.12939417,7,50-59,4-7,no,no,17.51
graduate,40,4.6006432,10,40-49,8 up,yes,yes,26.8
college,51,.74576575,6,50-59,4-7,yes,yes,29.27
college,33,-1.3656429,2,30-39,0-3,yes,yes,25.64
high school or equivalent,20,.70280784,0,20-29,0-3,no,yes,11.42
high school or equivalent,24,2.5144501,4,20-29,4-7,no,no,16.85
high school or equivalent,62,.6828196,6,60 up,4-7,no,yes,23.04
high school or equivalent,40,4.1337385,8,40-49,8 up,no,yes,24.31
college,35,-3.6636412,1,30-39,0-3,no,yes,13.58
high school or equivalent,57,3.7391131,9,50-59,8 up,no,yes,19.59
graduate,30,-.9568643,4,30-39,4-7,no,no,19.03
graduate,30,-1.5363674,3,30-39,0-3,yes,yes,20.76
graduate,42,1.4310094,7,40-49,4-7,yes,yes,26.59
college,31,-3.5682268,1,30-39,0-3,yes,yes,20.89
college,45,-1.2506387,4,40-49,4-7,no,yes,13.96
high school or equivalent,44,-.53030992,3,40-49,0-3,no,yes,19.17
high school or equivalent,58,-.40134367,5,50-59,4-7,no,no,17.54
college,23,-.27077785,3,20-29,0-3,no,no,17.14
graduate,42,-1.1740105,5,40-49,4-7,yes,no,23.08
college,52,-2.6507037,3,50-59,0-3,yes,yes,23.5
high school or equivalent,46,4.973083,9,40-49,8 up,no,yes,22.24
high school or equivalent,52,1.4657861,6,50-59,4-7,no,yes,20.89
high school or equivalent,56,4.6824965,10,50-59,8 up,yes,yes,34.32
high school or equivalent,65,1.6642284,8,60 up,8 up,yes,yes,35.53
high school or equivalent,26,1.5559349,4,20-29,4-7,yes,no,21.36
graduate,47,-3.487196,3,40-49,0-3,no,yes,20.57
high school or equivalent,50,-1.9538335,3,50-59,0-3,no,yes,20.13
high school or equivalent,74,2.4120231,9,60 up,8 up,no,yes,20.2
college,30,-3.2846587,1,30-39,0-3,no,no,13.03
high school or equivalent,61,.85505545,6,60 up,4-7,no,yes,18.78
high school or equivalent,30,-.1138928,2,30-39,0-3,no,yes,14.94
college,36,-1.9070773,2,30-39,0-3,yes,yes,26.34
graduate,63,-.11581817,8,60 up,8 up,yes,yes,31.64
graduate,60,-2.2483833,5,60 up,4-7,yes,yes,33.44
college,49,-1.9144198,3,40-49,0-3,yes,yes,27.65
graduate,37,-1.1910552,4,30-39,4-7,no,no,16.66
college,41,-.87693465,4,40-49,4-7,no,yes,21.48
high school or equivalent,73,2.4352257,9,60 up,8 up,no,no,15.5
high school or equivalent,20,-1.5804644,0,20-29,0-3,no,yes,12.36
high school or equivalent,53,-4.1289721,1,50-59,0-3,no,yes,19.9
college,48,-2.2102273,3,40-49,0-3,no,yes,21.81
college,29,1.6282474,5,20-29,4-7,yes,yes,23.94
high school or equivalent,21,.05600065,1,20-29,0-3,no,yes,16.02
high school or equivalent,28,.39502993,3,20-29,0-3,no,yes,16.72
graduate,29,2.9972539,7,20-29,4-7,no,yes,16.43
high school or equivalent,29,1.1965381,4,20-29,4-7,no,yes,13.86
college,27,.33406946,4,20-29,4-7,no,yes,13.66
high school or equivalent,67,-2.8176205,3,60 up,0-3,no,no,15.82
college,30,-.13618097,3,30-39,0-3,yes,yes,22.96
college,55,2.7338047,9,50-59,8 up,yes,yes,27
high school or equivalent,49,1.6161057,6,40-49,4-7,no,yes,19.34
graduate,45,1.0595546,7,40-49,4-7,no,no,20.12
high school or equivalent,21,-.98825753,1,20-29,0-3,no,yes,15.96
doctorate,24,.04549912,4,20-29,4-7,no,no,8.380000000000001
college,72,1.2172846,9,60 up,8 up,no,no,22.96
high school or equivalent,35,2.5312288,6,30-39,4-7,no,yes,16.63
college,20,.78505474,0,20-29,0-3,yes,yes,17.99
high school or equivalent,71,-.037933122,7,60 up,4-7,no,yes,25.51
graduate,25,-1.4265468,3,20-29,0-3,no,yes,17.46
high school or equivalent,50,2.6561108,7,50-59,4-7,no,yes,20.14
high school or equivalent,32,.77359438,3,30-39,0-3,no,yes,12.69
graduate,45,-.74064875,5,40-49,4-7,no,yes,19.36
graduate,31,-2.9213581,2,30-39,0-3,yes,yes,13.52
high school or equivalent,47,-1.8741431,2,40-49,0-3,no,yes,17.03
high school or equivalent,36,4.131669,7,30-39,4-7,no,yes,22.92
graduate,25,-.67383659,3,20-29,0-3,yes,yes,19.53
high school or equivalent,25,1.2820649,3,20-29,0-3,yes,yes,23.1
college,46,.39735311,5,40-49,4-7,yes,yes,30.51
high school or equivalent,65,-1.0361506,5,60 up,4-7,no,yes,21.02
graduate,46,-1.4838401,5,40-49,4-7,yes,yes,26.84
graduate,48,-.1597528,6,40-49,4-7,no,yes,21.47
college,39,3.654511,8,30-39,8 up,no,yes,16.53
high school or equivalent,50,.079505086,5,50-59,4-7,no,yes,13.88
high school or equivalent,22,-1.1436741,1,20-29,0-3,no,no,13.6
college,45,.46384421,5,40-49,4-7,no,yes,16.57
graduate,44,-1.5221511,4,40-49,4-7,no,no,17.11
high school or equivalent,49,-2.2252705,2,40-49,0-3,no,no,15.74
high school or equivalent,40,.56990886,4,40-49,4-7,no,yes,17.89
high school or equivalent,23,-2.2362261,0,20-29,0-3,no,yes,15.38
college,43,-1.9653018,3,40-49,0-3,yes,yes,27.53
high school or equivalent,46,-.44051787,4,40-49,4-7,no,yes,18.5
high school or equivalent,61,.0054675224,6,60 up,4-7,no,yes,21.49
high school or equivalent,25,2.2207904,4,20-29,4-7,no,yes,18.5
college,56,-1.2611997,5,50-59,4-7,yes,yes,29.3
college,48,.35036838,6,40-49,4-7,yes,yes,31.44
high school or equivalent,27,-2.9887187,0,20-29,0-3,no,yes,17.6
college,30,1.0678643,5,30-39,4-7,no,yes,18.4
college,53,-3.1728942,3,50-59,0-3,yes,yes,27.36
college,42,.13403358,5,40-49,4-7,yes,yes,24.15
college,38,-.85019952,3,30-39,0-3,yes,yes,25.39
graduate,32,.61275756,5,30-39,4-7,yes,yes,22.88
college,45,2.2806084,7,40-49,4-7,yes,yes,25.16
high school or equivalent,48,-2.6936615,2,40-49,0-3,no,yes,18.31
high school or equivalent,31,-.43288156,2,30-39,0-3,no,yes,15.18
college,60,2.409265,9,60 up,8 up,yes,yes,33.47
high school or equivalent,34,-.98376048,2,30-39,0-3,yes,yes,22.43
college,59,-.0030623104,6,50-59,4-7,yes,yes,32.5
high school or equivalent,40,3.1311057,7,40-49,4-7,no,yes,17.32
high school or equivalent,23,-1.8573487,0,20-29,0-3,no,no,14.04
college,40,-.54483396,4,40-49,4-7,no,yes,18.36
graduate,32,-4.9355998,1,30-39,0-3,yes,yes,22.35
high school or equivalent,24,2.5846245,4,20-29,4-7,no,yes,18.91
college,41,3.3603284,8,40-49,8 up,yes,yes,31.84
college,29,.13934857,4,20-29,4-7,no,yes,11.75
college,71,1.6288592,9,60 up,8 up,no,no,19.69
college,35,3.346977,7,30-39,4-7,no,yes,19.99
college,49,-1.0697138,4,40-49,4-7,yes,yes,28.71
high school or equivalent,33,-1.8239435,1,30-39,0-3,yes,yes,24.93
high school or equivalent,49,-.47343799,4,40-49,4-7,no,yes,20.38
high school or equivalent,44,.81326336,5,40-49,4-7,no,yes,15.92
high school or equivalent,25,.41289172,2,20-29,0-3,yes,yes,19.45
college,26,-.78208655,2,20-29,0-3,yes,yes,25.18
graduate,72,-5.4312296,3,60 up,0-3,yes,yes,28.33
high school or equivalent,53,-.4849197,4,50-59,4-7,no,yes,23.13
high school or equivalent,31,-.46597156,2,30-39,0-3,no,yes,16.66
high school or equivalent,49,-.10119058,4,40-49,4-7,no,yes,19.29
graduate,48,-1.4305102,5,40-49,4-7,no,yes,20.19
college,48,2.1741469,7,40-49,4-7,no,yes,21.19
high school or equivalent,31,3.6699378,6,30-39,4-7,no,yes,23.96
high school or equivalent,26,-.27845019,2,20-29,0-3,no,yes,15.04
high school or equivalent,32,-1.6821073,1,30-39,0-3,yes,yes,24.33
college,28,2.0759177,5,20-29,4-7,yes,yes,22.28
college,43,-2.663511,2,40-49,0-3,yes,yes,23.24
high school or equivalent,25,-3.3409305,0,20-29,0-3,no,yes,13.43
graduate,48,-1.8022627,4,40-49,4-7,yes,yes,22.75
college,24,1.5006429,4,20-29,4-7,yes,yes,15.97
college,60,.48057514,7,60 up,4-7,no,yes,18.5
high school or equivalent,69,4.0006371,10,60 up,8 up,no,no,23.92
college,39,5.1092873,10,30-39,8 up,yes,yes,27.2
high school or equivalent,34,-1.1459188,2,30-39,0-3,no,no,19.03
high school or equivalent,21,-.71330082,1,20-29,0-3,yes,yes,21.09
high school or equivalent,61,-5.3563895,0,60 up,0-3,no,no,16.27
college,28,.10260822,3,20-29,0-3,no,yes,18.51
graduate,26,1.0391474,5,20-29,4-7,yes,yes,19.97
college,61,.14365862,7,60 up,4-7,yes,yes,32.37
high school or equivalent,33,-.33379975,2,30-39,0-3,yes,yes,21.52
college,67,-.31671643,7,60 up,4-7,no,no,20.18
college,25,1.6558239,5,20-29,4-7,yes,yes,27.58
college,42,-.68558854,4,40-49,4-7,no,yes,16.93
graduate,31,-3.8534455,2,30-39,0-3,no,no,12.49
college,35,1.9474232,6,30-39,4-7,no,yes,16.74
high school or equivalent,66,-.85809672,5,60 up,4-7,no,yes,25.96
college,37,.76828825,5,30-39,4-7,yes,yes,27.93
high school or equivalent,42,-.31756356,3,40-49,0-3,no,yes,18.07
college,57,1.8647465,8,50-59,8 up,no,yes,24.69
college,29,-.78381252,3,20-29,0-3,yes,yes,15.38
college,70,-.36375827,7,60 up,4-7,no,no,18.66
college,50,1.4006393,7,50-59,4-7,no,yes,20.1
high school or equivalent,47,-1.6570592,3,40-49,0-3,no,yes,20.93
high school or equivalent,46,-.5622502,4,40-49,4-7,no,no,16.01
high school or equivalent,26,-.37173539,2,20-29,0-3,no,no,17.25
high school or equivalent,66,-1.476949,5,60 up,4-7,no,no,19.68
college,49,-.1240963,5,40-49,4-7,no,yes,15.32
high school or equivalent,40,.35046515,4,40-49,4-7,no,yes,16.98
graduate,41,.22932197,6,40-49,4-7,yes,yes,25.7
doctorate,39,-.40573251,6,30-39,4-7,yes,yes,24.7
high school or equivalent,71,-2.1380525,4,60 up,4-7,no,no,19.92
college,55,-1.179057,5,50-59,4-7,yes,no,26.39
graduate,61,-1.3288608,6,60 up,4-7,yes,yes,31.59
high school or equivalent,41,-1.4346021,2,40-49,0-3,no,yes,18.27
college,32,-3.4381144,1,30-39,0-3,no,yes,19
high school or equivalent,47,-3.057112,1,40-49,0-3,yes,yes,27.09
college,72,-1.6014874,6,60 up,4-7,yes,yes,30.02
high school or equivalent,64,.69997156,7,60 up,4-7,no,yes,19.34
high school or equivalent,45,-.35403267,4,40-49,4-7,no,yes,18.42
college,50,3.1223354,9,50-59,8 up,no,yes,19.84
high school or equivalent,68,.62313455,7,60 up,4-7,no,no,19.72
high school or equivalent,22,3.7201164,2,20-29,0-3,yes,yes,18.55
high school or equivalent,33,.51075089,3,30-39,0-3,no,yes,22.33
college,47,1.7816968,7,40-49,4-7,yes,yes,30.99
college,25,2.4261837,5,20-29,4-7,no,no,14.09
high school or equivalent,39,-.67733413,3,30-39,0-3,yes,yes,26.39
college,33,-3.5968847,1,30-39,0-3,yes,yes,20.78
graduate,27,2.9263914,7,20-29,4-7,yes,yes,24.95
college,29,1.9735005,5,20-29,4-7,no,yes,17.61
high school or equivalent,24,.21406442,2,20-29,0-3,no,no,13.95
graduate,35,-.93827277,4,30-39,4-7,yes,yes,21.94
graduate,53,.33352193,7,50-59,4-7,yes,yes,30.93
college,70,-3.2435145,4,60 up,4-7,no,no,15.39
graduate,38,-1.691957,4,30-39,4-7,yes,yes,23.25
college,53,3.0025566,9,50-59,8 up,no,yes,19.23
college,72,.30457544,8,60 up,8 up,no,yes,20.7
college,54,-3.6499391,2,50-59,0-3,no,no,15.84
college,40,-.03146081,4,40-49,4-7,yes,yes,26.83
college,50,2.825901,8,50-59,8 up,no,yes,20.12
graduate,51,-1.1763675,5,50-59,4-7,yes,yes,29.3
college,47,.14862539,5,40-49,4-7,no,yes,21.36
high school or equivalent,53,.19149245,5,50-59,4-7,yes,yes,28.13
high school or equivalent,58,1.744266,7,50-59,4-7,no,yes,26.57
doctorate,40,1.2736338,8,40-49,8 up,yes,yes,26.54
graduate,46,2.5623817,9,40-49,8 up,yes,yes,32.07
college,24,-2.4212246,1,20-29,0-3,yes,yes,20.18
college,30,-1.0831872,2,30-39,0-3,no,yes,11.98
college,33,-.77826554,3,30-39,0-3,no,yes,16.19
college,41,3.777751,8,40-49,8 up,yes,yes,32.32
college,42,-4.6700644,1,40-49,0-3,no,yes,16.05
high school or equivalent,37,1.8995425,5,30-39,4-7,no,yes,19.94
college,20,-2.1421204,0,20-29,0-3,yes,no,12.36
college,32,.79696935,4,30-39,4-7,no,yes,19.4
graduate,23,.96982694,3,20-29,0-3,yes,yes,17.9
high school or equivalent,60,1.2162946,7,60 up,4-7,no,no,17.51
college,38,-.15687446,4,30-39,4-7,no,yes,21.29
graduate,48,.23298571,7,40-49,4-7,yes,yes,28.13
high school or equivalent,56,-1.0140157,4,50-59,4-7,no,yes,22
graduate,30,-1.3980237,3,30-39,0-3,yes,yes,20.36
doctorate,23,2.1828985,3,20-29,0-3,yes,no,13.57
high school or equivalent,38,-.76522624,3,30-39,0-3,no,yes,20.78
high school or equivalent,26,-.53547961,2,20-29,0-3,yes,yes,18.44
high school or equivalent,20,1.2161392,0,20-29,0-3,no,no,16.18
college,57,-.28796858,6,50-59,4-7,no,yes,21.54
high school or equivalent,46,-3.902174,0,40-49,0-3,yes,yes,25.91
high school or equivalent,71,-.58811462,6,60 up,4-7,no,no,20.84
high school or equivalent,48,-.37335265,4,40-49,4-7,no,yes,15.6
college,58,-.95258737,5,50-59,4-7,no,yes,21.05
graduate,58,2.9626875,10,50-59,8 up,yes,yes,35.28
college,57,2.3353505,9,50-59,8 up,no,no,18.9
college,59,-.14515737,6,50-59,4-7,no,yes,18.49
high school or equivalent,65,.67823154,7,60 up,4-7,no,no,21.53
college,54,-.87620866,5,50-59,4-7,no,no,20.51
high school or equivalent,52,3.0558393,8,50-59,8 up,no,yes,22.98
high school or equivalent,34,2.1046433,5,30-39,4-7,no,yes,20.1
high school or equivalent,40,2.0273688,6,40-49,4-7,no,yes,19.29
college,50,1.3864292,7,50-59,4-7,yes,yes,27.44
college,46,-1.5445591,4,40-49,4-7,yes,yes,28.55
graduate,26,-1.0649343,3,20-29,0-3,yes,yes,20.97
high school or equivalent,43,2.4829652,6,40-49,4-7,no,yes,21.97
college,43,1.2585096,6,40-49,4-7,yes,yes,22.62
college,22,1.4742244,2,20-29,0-3,yes,yes,19.03
college,32,5.4215078,9,30-39,8 up,yes,yes,30.39
high school or equivalent,24,2.0584764,4,20-29,4-7,no,yes,16.06
college,25,2.6249726,5,20-29,4-7,no,yes,21.74
